Gene	AA Sequence	Superfam ID	Superfam Name	Fold Name
    	185-290	50447	Translation proteins:	Reductase/isomerase/elongation factor common domain
    	398-512	54980	EF-G C-terminal domain-like:	Ferredoxin-like
    	302-387	54980	EF-G C-terminal domain-like:	Ferredoxin-like
dtd	1-143	69500	DTD-like:	DTD-like
fdoI	4-205	81342	Transmembrane di-heme cytochromes:	Heme-binding four-helical bundle
cpxA	289-453	55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase:	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
    	224-299	47384	Homodimeric domain of signal transducing histidine kinase:	ROP-like
glpX	2-325	56655	Carbohydrate phosphatase:	Carbohydrate phosphatase
rraA	5-152	89562	RraA-like:	The "swivelling" beta/beta/alpha domain
hslV	2-170	56235	N-terminal nucleophile aminohydrolases (Ntn hydrolases):	Ntn hydrolase-like
rpmE	1-66	143800	L28p-like:	L28p-like
metJ	2-105	47598	Ribbon-helix-helix:	Ribbon-helix-helix
yijE	189-292	103481	Multidrug resistance efflux transporter EmrE:	Multidrug resistance efflux transporter EmrE
    	44-144	103481	Multidrug resistance efflux transporter EmrE:	Multidrug resistance efflux transporter EmrE
frwB	3-101	52794	PTS system IIB component-like:	Phosphotyrosine protein phosphatases I-like
frwD	4-95	52794	PTS system IIB component-like:	Phosphotyrosine protein phosphatases I-like
ppc	6-883	51621	Phosphoenolpyruvate/pyruvate domain:	TIM beta/alpha-barrel
oxyR	89-295	53850	Periplasmic binding protein-like II:	Periplasmic binding protein-like II
    	1-86	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
coaA	10-315	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
rplK	3-73	54747	Ribosomal L11/L12e N-terminal domain:	Ribosomal L11/L12e N-terminal domain
    	68-141	46906	Ribosomal protein L11, C-terminal domain:	DNA/RNA-binding 3-helical bundle
rplJ	4-160	160369	Ribosomal protein L10-like:	Ferredoxin-like
rplL	50-121	54736	ClpS-like:	ClpS-like
    	3-57	48300	Ribosomal protein L7/12, oligomerisation (N-terminal) domain:	Ribosomal protein L7/12, oligomerisation (N-terminal) domain
rpoB	11-226,343-939,1039-1341	64484	beta and beta-prime subunits of DNA dependent RNA-polymerase:	beta and beta-prime subunits of DNA dependent RNA-polymerase
hupA	1-90	47729	IHF-like DNA-binding proteins:	IHF-like DNA-binding proteins
aceA	4-417	51621	Phosphoenolpyruvate/pyruvate domain:	TIM beta/alpha-barrel
pepE	1-220	52317	Class I glutamine amidotransferase-like:	Flavodoxin-like
malG	8-296	161098	MetI-like:	MetI-like
malK	4-243	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	236-366	50331	MOP-like:	OB-fold
plsB	245-482	69593	Glycerol-3-phosphate (1)-acyltransferase:	Glycerol-3-phosphate (1)-acyltransferase
lexA	76-198	51306	LexA/Signal peptidase:	LexA/Signal peptidase
    	3-70	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
dnaB	204-275,302-456	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	25-136	48024	N-terminal domain of DnaB helicase:	N-terminal domain of DnaB helicase
alr	8-235	51419	PLP-binding barrel:	TIM beta/alpha-barrel
    	228-358	50621	Alanine racemase C-terminal domain-like:	Domain of alpha and beta subunits of F1 ATP synthase-like
ssb	5-143	50249	Nucleic acid-binding proteins:	OB-fold
soxS	57-106	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
    	4-56	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
nrfB	5-169	48695	Multiheme cytochromes:	Multiheme cytochromes
fdhF	2-565	53706	Formate dehydrogenase/DMSO reductase, domains 1-3:	Formate dehydrogenase/DMSO reductase, domains 1-3
    	571-686	50692	ADC-like:	Double psi beta-barrel
alsR	104-288	53697	SIS domain:	SIS domain
    	17-89	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
yjdM	39-110	82057	Prokaryotic SH3-related domain:	SH3-like barrel
    	1-36	57783	Zinc beta-ribbon:	Rubredoxin-like
melR	243-291	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
    	129-186	47454	A DNA-binding domain in eukaryotic transcription factors:	A DNA-binding domain in eukaryotic transcription factors
    	33-105	51182	RmlC-like cupins:	Double-stranded beta-helix
dcuR	1-136	52172	CheY-like:	Flavodoxin-like
yjdC	3-69	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
    	86-179	48498	Tetracyclin repressor-like, C-terminal domain:	Tetracyclin repressor-like, C-terminal domain
aspA	6-461	48557	L-aspartase-like:	L-aspartase-like
groS	2-93	50129	GroES-like:	GroES-like
groL	191-376	52029	GroEL apical domain-like:	The "swivelling" beta/beta/alpha domain
    	7-134,406-521	48592	GroEL equatorial domain-like:	GroEL equatorial domain-like
    	137-203	54849	GroEL-intermediate domain like:	GroEL-intermediate domain like
    	3-92,331-547	-9	PDB:	
efp	66-135	50249	Nucleic acid-binding proteins:	OB-fold
    	7-63	50104	Translation proteins SH3-like domain:	SH3-like barrel
    	130-187	50249	Nucleic acid-binding proteins:	OB-fold
gdx	5-103	103481	Multidrug resistance efflux transporter EmrE:	Multidrug resistance efflux transporter EmrE
frdD	1-119	81343	Fumarate reductase respiratory complex transmembrane subunits:	Heme-binding four-helical bundle
frdC	2-131	81343	Fumarate reductase respiratory complex transmembrane subunits:	Heme-binding four-helical bundle
frdB	107-229	46548	alpha-helical ferredoxin:	Globin-like
    	4-106	54292	2Fe-2S ferredoxin-like:	beta-Grasp (ubiquitin-like)
epmA	12-320	55681	Class II aaRS and biotin synthetases:	Class II aaRS and biotin synthetases
orn	3-180	53098	Ribonuclease H-like:	Ribonuclease H-like motif
hfq	5-69	50182	Sm-like ribonucleoproteins:	Sm-like fold
hflC	56-157	117892	Band 7/SPFH domain:	EF-Ts domain-like
    	196-233	117892	Band 7/SPFH domain:	EF-Ts domain-like
purA	3-431	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
nsrR	2-131	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
rlmB	68-242	75217	alpha/beta knot:	alpha/beta knot
    	2-76	55315	L30e-like:	Bacillus chorismate mutase-like
yjfN	11-90	159871	YdgH-like:	Dodecin subunit-like
ulaB	3-95	52794	PTS system IIB component-like:	Phosphotyrosine protein phosphatases I-like
ulaD	2-215	51366	Ribulose-phoshate binding barrel:	TIM beta/alpha-barrel
yjfY	3-91	159871	YdgH-like:	Dodecin subunit-like
rpsF	1-103	54995	Ribosomal protein S6:	Ferredoxin-like
rplI	60-149	55653	Ribosomal protein L9 C-domain:	Ribosomal protein L9 C-domain
    	1-57	55658	L9 N-domain-like:	MbtH/L9 domain-like
fklB	8-205	54534	FKBP-like:	FKBP-like
ytfL	344-428	56176	FAD-binding/transporter-associated domain-like:	FAD-binding/transporter-associated domain-like
    	200-335	54631	CBS-domain pair:	CBS-domain pair
ytfP	1-110	110857	Gamma-glutamyl cyclotransferase-like:	Gamma-glutamyl cyclotransferase-like
fbp	10-326	56655	Carbohydrate phosphatase:	Carbohydrate phosphatase
yjgA	37-179	158710	PSPTO4464-like:	PSPTO4464-like
ridA	3-126	55298	YjgF-like:	Bacillus chorismate mutase-like
pyrI	9-100	54893	Aspartate carbamoyltransferase, Regulatory-chain, N-terminal domain:	Ferredoxin-like
    	102-148	57825	Aspartate carbamoyltransferase, Regulatory-chain, C-terminal domain:	Rubredoxin-like
pyrB	4-306	53671	Aspartate/ornithine carbamoyltransferase:	ATC-like
rraB	2-122	89946	Hypothetical protein VC0424:	Ferredoxin-like
pepA	180-496	53187	Zn-dependent exopeptidases:	Phosphorylase/hydrolase-like
    	1-184	52949	Macro domain-like:	Macro domain-like
dnaC	64-226	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
prfC	10-277	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	262-393	50447	Translation proteins:	Reductase/isomerase/elongation factor common domain
    	393-468	54980	EF-G C-terminal domain-like:	Ferredoxin-like
ettA	11-243	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	302-526	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
creC	311-469	55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase:	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
    	241-320	47384	Homodimeric domain of signal transducing histidine kinase:	ROP-like
    	76-177	103190	Sensory domain-like:	Profilin-like
arcA	2-126	52172	CheY-like:	Flavodoxin-like
    	136-234	46894	C-terminal effector domain of the bipartite response regulators:	DNA/RNA-binding 3-helical bundle
ribF	175-308	82114	Riboflavin kinase-like:	Reductase/isomerase/elongation factor common domain
    	17-177	52374	Nucleotidylyl transferase:	Adenine nucleotide alpha hydrolase-like
yaaU	8-429	103473	MFS general substrate transporter:	MFS general substrate transporter
rluA	8-216	55120	Pseudouridine synthase:	Pseudouridine synthase
leuC	2-464	53732	Aconitase iron-sulfur domain:	Aconitase iron-sulfur domain
rsmH	7-113,213-310	53335	S-adenosyl-L-methionine-dependent methyltransferases:	S-adenosyl-L-methionine-dependent methyltransferases
    	114-213	81799	Putative methyltransferase TM0872, insert domain:	SAM domain-like
skp	20-160	111384	OmpH-like:	OmpH-like
accA	5-318	52096	ClpP/crotonase:	ClpP/crotonase
lpcA	1-189	53697	SIS domain:	SIS domain
yafN	9-56	143120	YefM-like:	YefM-like
thiL	143-307	56042	PurM C-terminal domain-like:	PurM C-terminal domain-like
    	4-138	55326	PurM N-terminal domain-like:	Bacillus chorismate mutase-like
yajQ	2-89	89963	YajQ-like:	Ferredoxin-like
    	91-163	89963	YajQ-like:	Ferredoxin-like
ppiD	39-169,203-239	109998	Triger factor/SurA peptide-binding domain-like:	Triger factor/SurA peptide-binding domain-like
    	225-355	54534	FKBP-like:	FKBP-like
htpG	231-485	54211	Ribosomal protein S5 domain 2-like:	Ribosomal protein S5 domain 2-like
    	5-208	55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase:	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
    	510-623	110942	HSP90 C-terminal domain:	HSP90 C-terminal domain
qmcA	49-183	117892	Band 7/SPFH domain:	EF-Ts domain-like
entH	10-131	54637	Thioesterase/thiol ester dehydrase-isomerase:	Thioesterase/thiol ester dehydrase-isomerase
citC	145-335	52374	Nucleotidylyl transferase:	Adenine nucleotide alpha hydrolase-like
    	34-116	55729	Acyl-CoA N-acyltransferases (Nat):	Acyl-CoA N-acyltransferases (Nat)
gltJ	24-223	161098	MetI-like:	MetI-like
miaB	127-373	102114	Radical SAM enzymes:	TIM beta/alpha-barrel
sdhA	4-259,359-440	51905	FAD/NAD(P)-binding domain:	FAD/NAD(P)-binding domain
    	440-588	46977	Succinate dehydrogenase/fumarate reductase flavoprotein C-terminal domain:	Spectrin repeat-like
    	262-349	56425	Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain:	Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain
sucA	121-546	52518	Thiamin diphosphate-binding fold (THDP-binding):	Thiamin diphosphate-binding fold (THDP-binding)
    	575-791	52518	Thiamin diphosphate-binding fold (THDP-binding):	Thiamin diphosphate-binding fold (THDP-binding)
sucC	1-238	56059	Glutathione synthetase ATP-binding domain-like:	ATP-grasp
    	239-385	52210	Succinyl-CoA synthetase domains:	Flavodoxin-like
sucD	123-288	52210	Succinyl-CoA synthetase domains:	Flavodoxin-like
    	1-122	51735	NAD(P)-binding Rossmann-fold domains:	NAD(P)-binding Rossmann-fold domains
ybiJ	3-86	159871	YdgH-like:	Dodecin subunit-like
rhtA	185-278	103481	Multidrug resistance efflux transporter EmrE:	Multidrug resistance efflux transporter EmrE
    	46-136	103481	Multidrug resistance efflux transporter EmrE:	Multidrug resistance efflux transporter EmrE
gsiC	91-288	161098	MetI-like:	MetI-like
gstB	84-203	47616	GST C-terminal domain-like:	GST C-terminal domain-like
    	1-85	52833	Thioredoxin-like:	Thioredoxin fold
ybjJ	11-390	103473	MFS general substrate transporter:	MFS general substrate transporter
potI	8-266	161098	MetI-like:	MetI-like
aqpZ	3-229	81338	Aquaporin-like:	Aquaporin-like
clpS	23-105	54736	ClpS-like:	ClpS-like
rarA	252-434	48019	post-AAA+ oligomerization domain-like:	post-AAA+ oligomerization domain-like
    	6-234	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
pflB	4-759	51998	PFL-like glycyl radical enzymes:	PFL-like glycyl radical enzymes
ihfB	1-89	47729	IHF-like DNA-binding proteins:	IHF-like DNA-binding proteins
cmoM	6-241	53335	S-adenosyl-L-methionine-dependent methyltransferases:	S-adenosyl-L-methionine-dependent methyltransferases
sxy	13-107	159894	YgaC/TfoX-N like:	Secretion chaperone-like
grxB	78-214	47616	GST C-terminal domain-like:	GST C-terminal domain-like
    	1-78	52833	Thioredoxin-like:	Thioredoxin fold
rluC	95-316	55120	Pseudouridine synthase:	Pseudouridine synthase
    	19-70	55174	Alpha-L RNA-binding motif:	Alpha-L RNA-binding motif
rusA	1-117	103084	Holliday junction resolvase RusA:	Bacillus chorismate mutase-like
umuD	13-135	51306	LexA/Signal peptidase:	LexA/Signal peptidase
dadA	1-54,107-271,359-417	51905	FAD/NAD(P)-binding domain:	FAD/NAD(P)-binding domain
    	269-359	54373	FAD-linked reductases, C-terminal domain:	FAD-linked reductases, C-terminal domain
prfA	8-347	75620	Release factor:	Release factor
chaB	2-75	140376	ChaB-like:	ChaB-like
narL	6-135	52172	CheY-like:	Flavodoxin-like
    	146-213	46894	C-terminal effector domain of the bipartite response regulators:	DNA/RNA-binding 3-helical bundle
narJ	5-163	89155	TorD-like:	TorD-like
rssB	8-128	52172	CheY-like:	Flavodoxin-like
ycjO	58-282	161098	MetI-like:	MetI-like
yddM	9-88	47413	lambda repressor-like DNA-binding domains:	lambda repressor-like DNA-binding domains
osmC	1-141	82784	OsmC-like:	OsmC-like
ydfG	2-231	51735	NAD(P)-binding Rossmann-fold domains:	NAD(P)-binding Rossmann-fold domains
ynfA	8-105	103481	Multidrug resistance efflux transporter EmrE:	Multidrug resistance efflux transporter EmrE
mdtJ	8-107	103481	Multidrug resistance efflux transporter EmrE:	Multidrug resistance efflux transporter EmrE
uidR	1-79	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
    	84-168	48498	Tetracyclin repressor-like, C-terminal domain:	Tetracyclin repressor-like, C-terminal domain
nemR	81-194	48498	Tetracyclin repressor-like, C-terminal domain:	Tetracyclin repressor-like, C-terminal domain
    	7-78	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
yobA	26-124	81296	E set domains:	Immunoglobulin-like beta-sandwich
exoX	4-183	53098	Ribonuclease H-like:	Ribonuclease H-like motif
ftnB	9-158	47240	Ferritin-like:	Ferritin-like
galF	2-283	53448	Nucleotide-diphospho-sugar transferases:	Nucleotide-diphospho-sugar transferases
btsS	424-556	55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase:	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase
    	243-359	55781	GAF domain-like:	Profilin-like
fruK	7-290	53613	Ribokinase-like:	Ribokinase-like
mepS	67-185	54001	Cysteine proteinases:	Cysteine proteinases
napF	33-158	54862	4Fe-4S ferredoxins:	Ferredoxin-like
gyrA	30-521	56719	Type II DNA topoisomerase:	Type II DNA topoisomerase
    	533-851	101904	GyrA/ParC C-terminal domain-like:	6-bladed beta-propeller
nuoF	16-246	142019	Nqo1 FMN-binding domain-like:	Nqo1 FMN-binding domain-like
    	333-429	140490	Nqo1C-terminal domain-like:	Bromodomain-like
    	248-330	142984	Nqo1 middle domain-like:	beta-Grasp (ubiquitin-like)
yfbU	1-164	116960	YfbU-like:	YfbU-like
ackA	160-398	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
    	4-199	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
fryB	4-101	52794	PTS system IIB component-like:	Phosphotyrosine protein phosphatases I-like
yfeR	89-296	53850	Periplasmic binding protein-like II:	Periplasmic binding protein-like II
    	3-113	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
talA	1-315	51569	Aldolase:	TIM beta/alpha-barrel
hisS	5-318	55681	Class II aaRS and biotin synthetases:	Class II aaRS and biotin synthetases
    	329-423	52954	Class II aaRS ABD-related:	Anticodon-binding domain-like
iscX	3-64	140319	IscX-like:	Another 3-helical bundle
hscA	200-377	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
    	20-196	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
    	384-535	100920	Heat shock protein 70kD (HSP70), peptide-binding domain:	Heat shock protein 70kD (HSP70), peptide-binding domain
   F	504-615	100934	Heat shock protein 70kD (HSP70), C-terminal subdomain:	immunoglobulin/albumin-binding domain-like
recO	4-75	50249	Nucleic acid-binding proteins:	OB-fold
    	86-165	57863	ArfGap/RecO-like zinc finger:	ArfGap/RecO-like zinc finger
lepA	2-235	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	401-501	54980	EF-G C-terminal domain-like:	Ferredoxin-like
    	293-368	54980	EF-G C-terminal domain-like:	Ferredoxin-like
trmD	1-247	75217	alpha/beta knot:	alpha/beta knot
nrdI	2-131	52218	Flavoproteins:	Flavodoxin-like
gshA	2-514	55931	Glutamine synthetase/guanido kinase:	Glutamine synthetase/guanido kinase
pncC	3-161	142433	CinA-like:	Anticodon-binding domain-like
nlpD	122-376	51261	Duplicated hybrid motif:	Barrel-sandwich hybrid
umpG	1-246	64167	SurE-like:	SurE-like
cysN	23-236	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	336-435	50465	EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain:	Elongation factor/aminomethyltransferase common domain
    	244-328	50447	Translation proteins:	Reductase/isomerase/elongation factor common domain
ygcP	11-185	110391	GlpP-like:	TIM beta/alpha-barrel
pyrG	3-269	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	291-385,435-538	52317	Class I glutamine amidotransferase-like:	Flavodoxin-like
    	289-542	-7	CATH:	
ygeW	19-373	53671	Aspartate/ornithine carbamoyltransferase:	ATC-like
lysS	162-502	55681	Class II aaRS and biotin synthetases:	Class II aaRS and biotin synthetases
    	13-155	50249	Nucleic acid-binding proteins:	OB-fold
epd	155-317	55347	Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain:	FwdE/GAPDH domain-like
    	1-179	51735	NAD(P)-binding Rossmann-fold domains:	NAD(P)-binding Rossmann-fold domains
rsmE	75-242	75217	alpha/beta knot:	alpha/beta knot
    	2-70	88697	PUA domain-like:	PUA domain-like
yqgE	1-187	143456	VC0467-like:	VC0467-like
yqgF	3-136	53098	Ribonuclease H-like:	Ribonuclease H-like motif
hybD	1-159	53163	HybD-like:	Phosphorylase/hydrolase-like
hybA	38-325	54862	4Fe-4S ferredoxins:	Ferredoxin-like
ygiW	31-127	101756	Hypothetical protein YgiW:	OB-fold
cpdA	16-269	56300	Metallo-dependent phosphatases:	Metallo-dependent phosphatases
ribB	12-213	55821	YrdC/RibB:	YrdC/RibB
dnaG	115-428	56731	DNA primase core:	DNA primase core
    	447-579	117023	DNA primase DnaG, C-terminal domain:	DNA primase DnaG, C-terminal domain
    	4-100	57783	Zinc beta-ribbon:	Rubredoxin-like
mug	2-163	52141	Uracil-DNA glycosylase-like:	Uracil-DNA glycosylase-like
sstT	18-400	118215	Proton glutamate symport protein:	Proton glutamate symport protein
agaR	89-249	100950	NagB/RpiA/CoA transferase-like:	NagB/RpiA/CoA transferase-like
    	16-71	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
kbaY	4-283	51569	Aldolase:	TIM beta/alpha-barrel
yhbO	3-170	52317	Class I glutamine amidotransferase-like:	Flavodoxin-like
rbfA	2-107	89919	Ribosome-binding factor A, RbfA:	Alpha-lytic protease prodomain-like
rimP	2-82	75420	YhbC-like, N-terminal domain:	Alpha-lytic protease prodomain-like
    	83-150	74942	YhbC-like, C-terminal domain:	Sm-like fold
argG	190-444	69864	Argininosuccinate synthetase, C-terminal domain:	Argininosuccinate synthetase, C-terminal domain
    	3-186	52402	Adenine nucleotide alpha hydrolases-like:	Adenine nucleotide alpha hydrolase-like
mlaF	8-237	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
nanE	14-224	51366	Ribulose-phoshate binding barrel:	TIM beta/alpha-barrel
trkA	1-152	51735	NAD(P)-binding Rossmann-fold domains:	NAD(P)-binding Rossmann-fold domains
    	232-376	51735	NAD(P)-binding Rossmann-fold domains:	NAD(P)-binding Rossmann-fold domains
    	148-226	116726	TrkA C-terminal domain-like:	TrkA C-terminal domain-like
    	390-450	116726	TrkA C-terminal domain-like:	TrkA C-terminal domain-like
bfr	5-150	47240	Ferritin-like:	Ferritin-like
yheS	2-92,119-253	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	295-516	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
prkB	4-286	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
glgC	20-294,378-393	53448	Nucleotide-diphospho-sugar transferases:	Nucleotide-diphospho-sugar transferases
    	313-411	51161	Trimeric LpxA-like enzymes:	Single-stranded left-handed beta-helix
livJ	24-358	53822	Periplasmic binding protein-like I:	Periplasmic binding protein-like I
dctA	9-401	118215	Proton glutamate symport protein:	Proton glutamate symport protein
dfp	184-401	102645	CoaB-like:	Ribokinase-like
    	3-180	52507	Homo-oligomeric flavin-containing Cys decarboxylases, HFCD:	Homo-oligomeric flavin-containing Cys decarboxylases, HFCD
uhpA	1-125	52172	CheY-like:	Flavodoxin-like
    	130-193	46894	C-terminal effector domain of the bipartite response regulators:	DNA/RNA-binding 3-helical bundle
dnaN	2-118	55979	DNA clamp:	DNA clamp
    	128-244	55979	DNA clamp:	DNA clamp
    	245-366	55979	DNA clamp:	DNA clamp
pstC	27-303	161098	MetI-like:	MetI-like
mnmG	7-66,97-261	51905	FAD/NAD(P)-binding domain:	FAD/NAD(P)-binding domain
asnA	7-329	55681	Class II aaRS and biotin synthetases:	Class II aaRS and biotin synthetases
hemY	95-226,269-383	48452	TPR-like:	alpha-alpha superhelix
dapF	5-270	54506	Diaminopimelate epimerase-like:	Diaminopimelate epimerase-like
pldB	17-329	53474	alpha/beta-Hydrolases:	alpha/beta-Hydrolases
yiiD	171-313	54637	Thioesterase/thiol ester dehydrase-isomerase:	Thioesterase/thiol ester dehydrase-isomerase
    	15-162	55729	Acyl-CoA N-acyltransferases (Nat):	Acyl-CoA N-acyltransferases (Nat)
fdoH	28-271	54862	4Fe-4S ferredoxins:	Ferredoxin-like
pfkA	3-305	53784	Phosphofructokinase:	Phosphofructokinase
tpiA	1-248	51351	Triosephosphate isomerase (TIM):	TIM beta/alpha-barrel
glpK	5-256	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
    	256-498	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
glpF	10-260	81338	Aquaporin-like:	Aquaporin-like
cytR	68-338	53822	Periplasmic binding protein-like I:	Periplasmic binding protein-like I
    	10-67	47413	lambda repressor-like DNA-binding domains:	lambda repressor-like DNA-binding domains
gldA	3-355	56796	Dehydroquinate synthase-like:	Dehydroquinate synthase-like
secE	76-119	103456	Preprotein translocase SecE subunit:	Single transmembrane helix
rplA	6-225	56808	Ribosomal protein L1:	Ribosomal protein L1
malF	15-260	160964	MalF N-terminal region-like:	MalF N-terminal region-like
    	261-503	161098	MetI-like:	MetI-like
yjbR	1-116	142906	YjbR-like:	Secretion chaperone-like
proP	24-446	103473	MFS general substrate transporter:	MFS general substrate transporter
    	465-497	103661	Proline/betaine transporter ProP, C-terminal cytoplasmic domain:	Antiparallel coiled-coil
ulaR	75-234	100950	NagB/RpiA/CoA transferase-like:	NagB/RpiA/CoA transferase-like
    	5-60	46785	"Winged helix" DNA-binding domain:	DNA/RNA-binding 3-helical bundle
nrdG	16-117	102114	Radical SAM enzymes:	TIM beta/alpha-barrel
rimI	3-146	55729	Acyl-CoA N-acyltransferases (Nat):	Acyl-CoA N-acyltransferases (Nat)
deoC	6-246	51569	Aldolase:	TIM beta/alpha-barrel
ileS	3-202,403-648	52374	Nucleotidylyl transferase:	Adenine nucleotide alpha hydrolase-like
    	652-929	47323	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases:	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
    	204-403	50677	ValRS/IleRS/LeuRS editing domain:	ValRS/IleRS/LeuRS editing domain
rihC	3-300	53590	Nucleoside hydrolase:	Nucleoside hydrolase
carA	153-378	52317	Class I glutamine amidotransferase-like:	Flavodoxin-like
    	3-143	52021	Carbamoyl phosphate synthetase, small subunit N-terminal domain:	The "swivelling" beta/beta/alpha domain
apaH	1-259	56300	Metallo-dependent phosphatases:	Metallo-dependent phosphatases
rapA	273-337,480-654	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
    	141-367	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
araD	1-223	53639	AraD/HMP-PK domain-like:	AraD/HMP-PK domain-like
araC	8-163	51215	Regulatory protein AraC:	Double-stranded beta-helix
    	231-279	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
    	176-227	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
leuD	4-195	52016	LeuD/IlvD-like:	The "swivelling" beta/beta/alpha domain
leuB	5-356	53659	Isocitrate/Isopropylmalate dehydrogenase-like:	Isocitrate/Isopropylmalate dehydrogenase-like
ftsI	235-563	56601	beta-lactamase/transpeptidase-like:	beta-lactamase/transpeptidase-like
    	63-233	56519	Penicillin binding protein dimerisation domain:	Penicillin binding protein dimerisation domain
zapD	4-247	160950	YacF-like:	YacF-like
nadC	131-296	51690	Nicotinate/Quinolinate PRTase C-terminal domain-like:	TIM beta/alpha-barrel
    	14-130	54675	Nicotinate/Quinolinate PRTase N-terminal domain-like:	alpha/beta-Hammerhead
ampD	2-179	55846	N-acetylmuramoyl-L-alanine amidase-like:	N-acetylmuramoyl-L-alanine amidase-like
acnB	380-859	53732	Aconitase iron-sulfur domain:	Aconitase iron-sulfur domain
    	163-371	52016	LeuD/IlvD-like:	The "swivelling" beta/beta/alpha domain
    	1-160	74778	Aconitase B, N-terminal domain:	alpha-alpha superhelix
speD	41-84,112-173	56276	S-adenosylmethionine decarboxylase:	S-adenosylmethionine decarboxylase
speE	7-283	53335	S-adenosyl-L-methionine-dependent methyltransferases:	S-adenosyl-L-methionine-dependent methyltransferases
yadG	3-232	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
panC	1-277	52374	Nucleotidylyl transferase:	Adenine nucleotide alpha hydrolase-like
yadN	30-194	49401	Bacterial adhesins:	Common fold of diphtheria toxin/transcription factors/cytochrome f
thpR	6-174	55144	LigT-like:	LigT-like
fhuA	68-747	56935	Porins:	Transmembrane beta-barrels
fhuC	13-238	52540	P-loop containing nucleoside triphosphate hydrolases:	P-loop containing nucleoside triphosphate hydrolases
