Gene	Frame ID	Synonyms	Location	Complex	Cofactors	Essentiality (Lb Lennox)	Copy Number in Neidhardt EZ rich defined medium (molecules/cell)	Molecular Weight (from nucleotide sequece)	Mass (fg)	Overall # of Subunits	Unique Subunits	pI
fucA	EG10348	fucC; prd	cytosol	'FucA.4'	Zn2+ 	Growth	No Info Available	23.775	No Info Available	4	1	6.264
fumC	EG10358	None	cytosol	'FumC.4'	None	Growth	498	50.489	0.0417518	4	1	6.267
gabD	EG11329	NADP+-dependent succinate-semialdehyde dehydrogenase	cytosol	'GabD.4'	None	Growth	55	51.72	0.004723569	4	1	5.347
galU	EG11319	ychD	cytosol	'GalU.4'	Mg2+ 	Growth	10550	32.942	0.577100583	4	1	5.002
gapA	EG10367	gad; gap1; GAPDH-A	cytosol	'GapA.4'	None	No Growth	105852	35.532	6.245508621	4	1	6.792
gatA	EG12414	Enzyme IIA Gat; EIIA Gat	cytosol	"'GatC.2', 'GatB.', 'GatA.'"	None	Growth	1261	16.907	0.035402239	4	3	5.018
gatB	EG12415	Enzyme IIB Gat; EIIB Gat	cytosol	"'GatC.2', 'GatB.', 'GatA.'"	None	Growth	868	10.222	0.014733458	4	3	5.953
gatC	EG12416	Enzyme IICGat; EIICGat	Unknown	"'GatC.2', 'GatB.', 'GatA.'"	None	Growth	1319	No Info Available	No Info Available	4	3	9.498
glaH	G7394	csi-12; ygaT; csiD; PF08943 family protein CsiD	cytosol	'GlaH.4'	None	Growth	No Info Available	37.36	No Info Available	4	1	No Info Available
glgC	EG10379	None	cytosol	'GlgC.4'	Mg2+ 	Growth	257	48.698	0.020782287	4	1	5.84
glpF	EG10396	GlpF glycerol MIP channel	inner membrane	'GlpF.4'	None	Growth	30	29.78	0.001483526	4	1	6.323
glpK	EG10398	None	cytosol	'GlpK.4'	Mg2+ 	Growth	377	56.231	0.035201912	4	1	5.265
glsA	G6261	ybaS; glsA1	Unknown	'GlsA.4'	None	Growth	No Info Available	32.903	No Info Available	4	1	No Info Available
glxR	G6278	glxB1; ybbQ	cytosol	'GlxR.4'	None	Growth	16	30.801	0.00081834	4	1	5.789
glyQ	EG10409	cfcA; glyS(A)	cytosol	"'GlyS.2', 'GlyQ.2'"	None	No Growth	12365	34.774	0.713999423	4	2	4.763
glyS	EG10410	glyS(B); gly; gly-act	cytosol	"'GlyS.2', 'GlyQ.2'"	None	No Growth	12974	76.813	1.654846483	4	2	5.184
gmhA	G6106	yafI; lpcA; tfrA	cytosol	'GmhA.4'	None	Growth	4159	20.815	0.143752176	4	1	6.109
gpt	EG10414	glyD; gpp; gxu	"inner membrane, cytosol"	'Gpt.4'	Mg2	Growth	16116	16.971	0.454165126	4	1	5.537
gshB	EG10419	gsh-II	cytosol	'GshB.4'	Mg2+ 	Growth	2739	35.561	0.161739125	4	1	4.983
gsiA	G6429	yliA	inner membrane	"'GsiA.', 'GsiB.', 'GsiD.', 'GsiC.'"	None	No Info Available	41	69.114	0.004705426	4	4	7.188
gsiB	G6430	yliB	"inner membrane, periplasmic space"	"'GsiA.', 'GsiB.', 'GsiD.', 'GsiC.'"	None	Growth	71	56.47	0.006657715	4	4	8.358
gsiC	G6431	yliC	inner membrane	"'GsiA.', 'GsiB.', 'GsiD.', 'GsiC.'"	None	Growth	20	34.066	0.001131358	4	4	7.584
gsiD	G6432	yliD	inner membrane	"'GsiA.', 'GsiB.', 'GsiD.', 'GsiC.'"	None	Growth	28	33.238	0.001545404	4	4	9.845
guaB	EG10421	guaR	cytosol	'GuaB.4'	None	Growth	25233	52.022	2.179741652	4	1	6.124
guaC	EG10422	None	cytosol	'GuaC.4'	None	Growth	2831	37.384	0.175741662	4	1	6.222
gutQ	EG10973	srlQ	cytosol	'GutQ.4'	None	Growth	596	34.031	0.033679843	4	1	6.047
gyrA	EG10423	hisW; nalA; nfxA; norA; parD	cytosol	"'GyrA.2', 'GyrB.2'"	Mg2+ 	No Growth	5219	96.963	0.84031561	4	2	4.956
gyrB	EG10424	cou; hopA; pcpA; pcbA; parA; nalC; Cou; acrB; himB; hisU	cytosol	"'GyrA.2', 'GyrB.2'"	Mg2+ 	No Growth	5582	89.95	0.833758147	4	2	5.781
hcaC	G7334	"yfhW; hcaa3; phdB; 3-phenylpropionate dioxygenase, predicted ferredoxin subunit"	Unknown	"'HcaC.', 'HcaD.', 'HcaF.', 'HcaE.'"	None	Growth	No Info Available	11.329	No Info Available	4	4	4.111
hcaD	G7336	"hcaa4; phdA; yfhY; 3-phenylpropionate dioxygenase, predicted ferredoxin reductase subunit"	cytosol	"'HcaC.', 'HcaD.', 'HcaF.', 'HcaE.'"	None	Growth	22	43.978	0.001606598	4	4	5.704
hcaE	M009	"yfhU; digA; phdC1; hcaA; hcaA1; 3-phenylpropionate dioxygenase, large subunit; 3-phenylpropionate dioxygenase, α subunit"	Unknown	"'HcaC.', 'HcaD.', 'HcaF.', 'HcaE.'"	None	Growth	No Info Available	51.109	No Info Available	4	4	5.184
hcaF	M015	"yfhV; hcaA; phdC2; digB; hcaB; hcaA2; 3-phenylpropionate dioxygenase, small subunit; 3-phenylpropionate dioxygenase, β subunit"	cytosol	"'HcaC.', 'HcaD.', 'HcaF.', 'HcaE.'"	None	Growth	No Info Available	20.579	No Info Available	4	4	6.392
hdhA	EG10425	hsd; hsdH	cytosol	'HdhA.4'	None	Growth	864	26.779	0.038419985	4	1	5.121
hemG	EG11485	yihB	"cytosol, membrane"	'HemG.4'	FMN 	No Growth	863	21.226	0.030417817	4	1	9.844
hiuH	G7058	yedX; transthyretin-like protein (TLP); transthyretin-related protein (TRP)	periplasmic space	'HiuH.4'	None	Growth	52	15.46	0.001334941	4	1	9.292
hpt	EG20098	None	cytosol	'Hpt.4'	Mg2+ 	Growth	7860	20.115	0.262537698	4	1	4.928
hybA	EG11799	hydL	"periplasmic space, inner membrane"	"'HybA.', 'HybB.', 'HybO.', 'HybC.'"	"a [FeS] iron-sulfur cluster , a nickel-iron-sulfur cluster "	Growth	114	36.003	0.00681542	4	4	7.057
hybB	EG11800	None	inner membrane	"'HybA.', 'HybB.', 'HybO.', 'HybC.'"	"a [FeS] iron-sulfur cluster , a nickel-iron-sulfur cluster "	Growth	46	43.602	0.00333053	4	4	8.841
hybC	EG11801	hydrogenase 2 α subunit	inner membrane	"'HybA.', 'HybB.', 'HybO.', 'HybC.'"	"a [FeS] iron-sulfur cluster , a nickel-iron-sulfur cluster "	Growth	273	62.491	0.028328867	4	4	5.969
hybO	G7554	yghV; hydrogenase 2 subunit β	"inner membrane, periplasmic space"	"'HybA.', 'HybB.', 'HybO.', 'HybC.'"	"a [FeS] iron-sulfur cluster , a nickel-iron-sulfur cluster "	Growth	191	39.652	0.012576146	4	4	6.41
hyuA	G7492	ygeZ	cytosol	'HyuA.4'	Mn2+ 	Growth	No Info Available	51.025	No Info Available	4	1	6.329
ilvA	EG10493	ile; threonine dehydratase	cytosol	'IlvA.4'	pyridoxal 5'-phosphate 	Growth	346	56.195	0.032286641	4	1	5.608
ilvB	EG10494	"acetohydroxy acid synthase I, large subunit"	cytosol	"'IlvB.2', 'IlvN.2'"	"thiamine diphosphate , FAD , Mg2+ "	Growth	1207	60.441	0.121140121	4	2	5.227
ilvC	EG10495	2-hydroxy-3-ketol-acid reductoisomerase; α-acetohydroxy acid isomeroreductase; acetohydroxy acid isomeroreductase; KARI	cytosol	'IlvC.4'	Mg2+ 	Growth	865	54.069	0.077662888	4	1	5.09
ilvH	EG10499	brnP	cytosol	"'IlvI.2', 'IlvH.2'"	"thiamine diphosphate , FAD , Mg2+ "	Growth	146	17.977	0.004358321	4	2	8.676
ilvI	EG10500	None	cytosol	"'IlvI.2', 'IlvH.2'"	"thiamine diphosphate , FAD , Mg2+ "	Growth	115	62.984	0.01202755	4	2	6.019
ilvN	EG10502	"acetohydroxy acid synthase I, small subunit"	cytosol	"'IlvB.2', 'IlvN.2'"	"thiamine diphosphate , FAD , Mg2+ "	Growth	897	11.106	0.016542426	4	2	5.813
iscA	EG12132	yfhF; iron-sulfur cluster assembly protein	cytosol	'IscA.4'	None	Growth	5912	11.556	0.113446486	4	1	4.608
katE	EG10509	catalase II; HPII; hydroperoxidase II; HPIII	cytosol	'KatE.4'	heme d 	Growth	26	84.162	0.003633611	4	1	5.593
katG	EG10511	hydroperoxidase I; catalase HPI; HPI	cytosol	'KatG.4'	protoheme 	Growth	2814	80.024	0.373932695	4	1	5.026
kch	EG11606	None	inner membrane	'Kch.4'	None	Growth	120	46.063	0.009178729	4	1	6.283
kdpA	EG10513	kac	inner membrane	"'KdpF.', 'KdpA.', 'KdpB.', 'KdpC.'"	None	Growth	No Info Available	59.189	No Info Available	4	4	7.115
kdpB	EG10514	kac	inner membrane	"'KdpF.', 'KdpA.', 'KdpB.', 'KdpC.'"	None	Growth	No Info Available	72.199	No Info Available	4	4	7.508
kdpC	EG10515	kac	inner membrane	"'KdpF.', 'KdpA.', 'KdpB.', 'KdpC.'"	None	Growth	No Info Available	20.267	No Info Available	4	4	7.145
kdpF	G0-10439	None	inner membrane	"'KdpF.', 'KdpA.', 'KdpB.', 'KdpC.'"	None	Growth	No Info Available	3.072	No Info Available	4	4	3.748
kdsA	EG10518	None	cytosol	'KdsA.4'	None	No Growth	6456	30.833	0.330543328	4	1	6.471
kdsC	G7663	yrbJ; yrbI	cytosol	'KdsC.4'	Mg2+ 	Growth	997	19.997	0.033106182	4	1	4.808
kdsD	G7662	yrbH	cytosol	'KdsD.4'	None	Growth	751	35.196	0.043891693	4	1	6.375
lacZ	EG10527	β-D-galactoside galactohydrolase; β-D-galactosidase; lactase	cytosol	'LacZ.4'	Mg2+ 	No Info Available	31	116.48	0.005996007	4	1	5.226
ldhA	G592	htpH; hslF; hslI; D-lactate dehydrogenase - fermentative	cytosol	'LdhA.4'	None	Growth	2583	36.535	0.156704911	4	1	5.2
lolC	G6573	ycfU	"periplasmic space, inner membrane"	"'LolE.', 'LolD.2', 'LolC.'"	None	No Growth	346	43.264	0.02485718	4	3	6.023
lolD	G6574	ycfV	inner membrane	"'LolE.', 'LolD.2', 'LolC.'"	None	No Growth	817	25.438	0.034510727	4	3	7.941
lolE	G6575	ycfW	inner membrane	"'LolE.', 'LolD.2', 'LolC.'"	None	No Growth	321	45.344	0.02416985	4	3	8.958
ltaE	G6455	ltaA; ybjU	cytosol	'LtaE.4'	pyridoxal 5'-phosphateKinetic Parameters Substrate  Km (μM)  Citations  4-hydroxy-L-threonine  27.0 	Growth	684	36.495	0.041451339	4	1	5.896
maeA	EG10948	"sfcA; malate dehydrogenase, NAD-requiring"	cytosol	'MaeA.4'	Mn2+ 	Growth	1331	63.197	0.139676585	4	1	5.069
menE	EG12437	None	cytosol	'MenE.4'	Mg2+ 	Growth	192	50.185	0.016000157	4	1	6.102
menI	G6912	ydiI	cytosol	'MenI.4'	None	Growth	646	14.945	0.016031624	4	1	7.154
metB	EG10582	met-1	cytosol	'MetB.4'	pyridoxal 5'-phosphate 	Growth	183	41.55	0.012626158	4	1	6.152
metC	EG10583	None	cytosol	'MetC.4'	pyridoxal 5'-phosphate 	Growth	596	43.212	0.042766107	4	1	6.152
metF	EG10585	None	cytosol	'MetF.4'	FAD 	Growth	192	33.103	0.010554014	4	1	6.134
metK	EG10589	metX	cytosol	'MetK.4'	"K+ , Mg2+ "	No Growth	22856	41.952	1.592216015	4	1	4.987
mglA	EG10592	mglP; mgl	inner membrane	"'MglA.', 'MglC.2', 'MglB.'"	None	Growth	52	56.415	0.004871324	4	3	7.409
mglB	EG10593	D-galactose/D-glucose binding protein; GGBP; GBP	periplasmic space	"'MglA.', 'MglC.2', 'MglB.'"	None	Growth	289	35.713	0.017138518	4	3	5.695
mglC	EG10594	mglP	inner membrane	"'MglA.', 'MglC.2', 'MglB.'"	None	Growth	76	35.55	0.004486444	4	3	9.123
mhpB	M011	"2,3-dihydroxyphenylpropionate/2,3-dihydroxycinnamate 1,2-dioxygenase"	Unknown	'MhpB.4'	Fe2+ 	Growth	No Info Available	34.196	No Info Available	4	1	5.349
minC	EG10596	minB	cytosol	"'MinD.2', 'MinC.2'"	None	Growth	857	24.775	0.035256856	4	2	6.551
minD	EG10597	minB	"inner membrane, cytosol"	"'MinD.2', 'MinC.2'"	None	No Growth	5358	29.614	0.263480738	4	2	5.113
mnmE	EG10997	"trmE; thdF; GTPase, involved in modification of U34 in tRNA; 5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmE"	"inner membrane, cytosol"	"'MnmE.2.', 'MnmG.2.'"	FAD 	Growth	1049	49.231	0.085755747	4	2	4.762
mnmG	EG10375	gidA; trmF; protein involved in modification of U34 in tRNA	cytosol	"'MnmE.2.', 'MnmG.2.'"	FAD 	Growth	2316	69.521	0.267364447	4	2	6.326
moaD	EG11597	chlA4; chlM; molybdopterin synthase small subunit	cytosol	"'MoaD.2', 'MoaE.2'"	None	Growth	1029	8.758	0.014964748	4	2	4.232
moaE	EG11598	chlA5; molybdopterin synthase large subunit	cytosol	"'MoaD.2', 'MoaE.2'"	None	Growth	897	16.981	0.025293259	4	2	5.164
modA	EG12427	None	periplasmic space	"'ModC.', 'ModB.2', 'ModA.'"	None	Growth	769	27.364	0.034942584	4	3	8.402
modB	EG10002	chlJ; tslJ	inner membrane	"'ModC.', 'ModB.2', 'ModA.'"	None	Growth	56	24.939	0.002319082	4	3	10.452
modC	EG10152	chlD; narD	inner membrane	"'ModC.', 'ModB.2', 'ModA.'"	None	Growth	57	39.102	0.003701033	4	3	8.739
mtlR	EG11965	repressor for mtl	cytosol	"'MtlR.2', 'PtsH.2'"	None	Growth	232	21.99	0.008471539	4	2	4.566
mutH	EG10624	mutR; prv	cytosol	"'MutL.', 'MutS.2', 'MutH.'"	None	Growth	119	25.527	0.005044241	4	3	6.654
mutL	EG11281	None	cytosol	"'MutL.', 'MutS.2', 'MutH.'"	None	Growth	160	67.924	0.018046473	4	3	6.449
mutS	EG10625	ant; plm; fdv	cytosol	"'MutL.', 'MutS.2', 'MutH.'"	None	Growth	1049	95.247	0.165911269	4	3	5.317
nadR	EG11335	nadI	"cytosol, inner membrane"	'NadR.4'	Mg2+ 	Growth	416	47.346	0.032705871	4	1	5.376
nagA	EG10632	None	cytosol	'NagA.4'	Zn2+ 	Growth	487	40.949	0.03311474	4	1	5.688
nanA	EG10637	npl	cytosol	'NanA.4'	None	Growth	319	32.593	0.017264902	4	1	5.617
ndk	EG10650	None	cytosol	'Ndk.4'	Mg2+ 	Growth	44876	15.463	1.152277246	4	1	5.56
norV	G7413	ygaJ; ygaI; ygaK; flavorubredoxin; FlRd	cytosol	'NorV.4'	None	Growth	No Info Available	54.234	No Info Available	4	1	4.906
nrdA	EG10660	dnaF; R1 protein; B1 protein	cytosol	"'NrdA.2.', 'NrdB.2.'"	"Fe2+, Mg2+ "	No Growth	6667	85.775	0.949599052	4	2	5.684
nrdB	EG10661	"ftsB; ribonucleoside diphosphate reductase 1, β subunit, ferritin-like; R2 protein; B2 protein"	cytosol	"'NrdA.2.', 'NrdB.2.'"	"Fe2+, Mg2+ "	No Growth	4414	43.517	0.318963044	4	2	4.552
nrdD	EG11417	None	cytosol	"'NrdD.2.', 'NrdG.2.'"	"Zn2+ , K+ , Mg2+ "	Growth	256	80.023	0.034017617	4	2	6.493
nrdE	EG20257	None	cytosol	"'NrdE.2.', 'NrdF.2.'"	None	Growth	62	80.479	0.008285588	4	2	6.231
nrdF	EG12381	ygaD	cytosol	"'NrdE.2.', 'NrdF.2.'"	None	Growth	88	36.443	0.005325322	4	2	4.525
nrdG	G812	yjgE	cytosol	"'NrdD.2.', 'NrdG.2.'"	a [4Fe-4S] iron-sulfur cluster 	Growth	No Info Available	17.446	No Info Available	4	2	7.116
osmF	EG12012	yehZ	"inner membrane, periplasmic space"	"'OsmF.', 'YehY.', 'YehX.', 'YehW.'"	None	Growth	19	32.609	0.001028822	4	4	No Info Available
oxc	G7236	yfdU	Unknown	'Oxc.4'	None	Growth	No Info Available	60.581	No Info Available	4	1	5.668
paaA	G6709	ydbO	cytosol	"'PaaE.', 'PaaA.', 'PaaC.', 'PaaB.'"	"a [2Fe-2S] iron-sulfur cluster , FAD "	Growth	No Info Available	35.499	No Info Available	4	4	6.229
paaB	G6710	ynbF	Unknown	"'PaaE.', 'PaaA.', 'PaaC.', 'PaaB.'"	"a [2Fe-2S] iron-sulfur cluster , FAD "	Growth	No Info Available	10.942	No Info Available	4	4	6.069
paaC	G6711	ydbP	cytosol	"'PaaE.', 'PaaA.', 'PaaC.', 'PaaB.'"	"a [2Fe-2S] iron-sulfur cluster , FAD "	Growth	No Info Available	27.877	No Info Available	4	4	4.762
paaE	G6713	ydbR	cytosol	"'PaaE.', 'PaaA.', 'PaaC.', 'PaaB.'"	"a [2Fe-2S] iron-sulfur cluster , FAD "	Growth	No Info Available	39.32	No Info Available	4	4	6.017
paaI	G6717	ydbV	cytosol	'PaaI.4'	None	Growth	No Info Available	14.851	No Info Available	4	1	6.435
parC	EG10686	DNA topoisomerase 4 subunit A	"inner membrane, cytosol"	"'ParE.2', 'ParC.2.'"	None	No Growth	1554	83.831	0.216324023	4	2	6.376
parE	EG10687	nfxD	cytosol	"'ParE.2', 'ParC.2.'"	None	No Growth	2414	70.244	0.281575971	4	2	5.385
patD	G6755	prr; ydcW	cytosol	'PatD.4'	None	Growth	40	50.83	0.003376208	4	1	No Info Available
patZ	G7350	yfiQ; pka	inner membrane	'PatZ.4'	None	Growth	20	97.987	0.003254225	4	1	No Info Available
pepP	EG10697	proline aminopeptidase P II	cytosol	'PepP.4'	Mn2+ 	Growth	1224	49.815	0.101248977	4	1	5.165
pfkA	EG10699	6-phosphofructokinase I; PFK I	cytosol	'PfkA.4'	Mg2+ 	Growth	4667	34.842	0.270016291	4	1	5.435
pheS	EG10709	phe-act	cytosol	"'PheS.2', 'PheT.2'"	Mg2+ 	No Growth	8935	36.832	0.546473302	4	2	5.91
pheT	EG10710	None	cytosol	"'PheS.2', 'PheT.2'"	Mg2+ 	No Growth	8573	87.378	1.243895837	4	2	5.053
phnL	EG10721	None	"inner membrane, cytosol"	"'PhnL.', 'PhnH.', 'PhnG.', 'PhnI.'"	None	Growth	No Info Available	24.705	No Info Available	4	4	8.981
pntA	EG10744	None	inner membrane	"'PntB.2', 'PntA.2'"	None	Growth	1896	54.623	0.171974071	4	2	5.595
pntB	EG10745	None	inner membrane	"'PntB.2', 'PntA.2'"	None	Growth	1164	48.723	0.0941751	4	2	5.844
poxB	EG10754	pyruvate:ubiquinone oxidoreductase; pyruvate dehydrogenase (quinone)	"inner membrane, cytosol"	'PoxB.4'	"FAD , thiamine diphosphate , Mg2+ "	Growth	40	62.011	0.004118867	4	1	5.977
ppc	EG10756	asp; glu	cytosol	'Ppc.4'	Mg2+ 	Growth	2530	99.062	0.416175686	4	1	5.455
ppnN	EG12373	ygdH	cytosol	'PpnN.4'	None	Growth	850	50.972	0.071944847	4	1	No Info Available
ppsR	EG11132	ydiA; PEP synthetase regulatory protein	cytosol	'PpsR.4'	None	Growth	453	31.211	0.023477669	4	1	6.125
preA	EG11289	yeiA	cytosol	"'PreT.2', 'PreA.2'"	None	Growth	23	45.069	0.001721293	4	2	5.249
preT	G7145	yeiT	cytosol	"'PreT.2', 'PreA.2'"	None	Growth	30	44.329	0.002208301	4	2	5.166
proA	EG10767	pro(1); pro1; γ-glutamyl phosphate reductase; GPR	cytosol	'ProA.4'	None	Growth	2289	44.63	0.169637464	4	1	5.353
proB	EG10768	pro(2); pro2; G5K	cytosol	'ProB.4'	Mg2+ 	Growth	2048	39.056	0.132821018	4	1	6.226
prpB	G6196	yahQ	cytosol	'PrpB.4'	Mg2+ 	Growth	No Info Available	32.135	No Info Available	4	1	5.405
ptsA	EG11906	yijH; frwA; pt1A; Enzyme IAni; TTP; triphosphoryl transfer protein	cytosol	"'FrwC.', 'FrwB.', 'FrwD.', 'PtsA.'"	None	Growth	No Info Available	91.774	No Info Available	4	4	5.196
ptsH	EG10788	ctr; hpr	cytosol	"'MtlR.2', 'PtsH.2'"	None	Growth	54232	9.119	0.821205647	4	2	5.609
purB	EG11314	ade(h); ade	cytosol	'PurB.4'	None	No Growth	7380	51.543	0.631648029	4	1	5.746
purF	EG10794	ade(ub); ade; purC	cytosol	'PurF.4'	Mg2+ 	Growth	1339	56.488	0.125598909	4	1	5.242
pykA	EG10803	pyruvate kinase A; type II pyruvate kinase	cytosol	'PykA.4'	"K+ , Mg2+ "	Growth	2749	51.357	0.234435554	4	1	6.35
pykF	EG10804	type I pyruvate kinase; pyruvate kinase type F	cytosol	'PykF.4'	"K+ , Mg2+ "	Growth	12968	50.729	1.092391705	4	1	5.807
pyrG	EG10810	CTP synthase	cytosol	'PyrG.4'	Mg2+ 	No Growth	14494	60.374	1.453072548	4	1	5.668
rapZ	EG12146	yhbJ	cytosol	'RapZ.4'	None	Growth	1332	32.492	0.07186704	4	1	6.935
rbsA	EG10814	rbsT; rbsP	inner membrane	"'RbsA.', 'RbsC.2', 'RbsB.'"	None	Growth	263	55.042	0.02403804	4	3	5.866
rbsB	EG10815	prlB; rbsP	periplasmic space	"'RbsA.', 'RbsC.2', 'RbsB.'"	None	Growth	1714	30.95	0.088088773	4	3	7.39
rbsC	EG10816	rbsP; rbsT	inner membrane	"'RbsA.', 'RbsC.2', 'RbsB.'"	None	Growth	324	33.452	0.017997666	4	3	9.981
rfbA	EG11978	rmlA; som	cytosol	'RfbA.4'	Mg2+ 	Growth	3760	32.694	0.204129134	4	1	5.292
rffH	EG11454	yifG	cytosol	'RffH.4'	None	Growth	528	32.734	0.028700013	4	1	5.208
rhaA	EG11867	None	cytosol	'RhaA.4'	Mn2+ 	No Info Available	No Info Available	47.199	No Info Available	4	1	5.496
rhaD	EG11866	None	cytosol	'RhaD.4'	"Zn2+ , K+ "	No Info Available	29	30.145	0.001451652	4	1	5.613
rihA	G6358	ybeK; ribonucleoside hydrolase 1 (pyrimidine-specific)	cytosol	'RihA.4'	None	Growth	516	33.823	0.028980837	4	1	4.708
rihB	EG12030	yeiK; ribonucleoside hydrolase 2 (pyrimidine-specific)	cytosol	'RihB.4'	Ca2+ 	Growth	No Info Available	33.748	No Info Available	4	1	4.583
rimK	EG10852	nek	cytosol	'RimK.4'	None	Growth	101	32.436	0.005439986	4	1	7.614
rpoA	EG10893	pez; phs; sez	cytosol	"'RpoA.2', 'RpoC.', 'RpoB.'"	None	No Growth	47625	36.512	2.887484769	4	3	4.838
rpoB	EG10894	sdgB; tabD; stv; stl; ftsR; groN; nitB; rif; ron	cytosol	"'RpoA.2', 'RpoC.', 'RpoB.'"	None	No Growth	16156	150.63	4.041051742	4	3	5.02
rpoC	EG10895	tabB	cytosol	"'RpoA.2', 'RpoC.', 'RpoB.'"	None	No Growth	17553	155.16	4.522517066	4	3	6.753
sapB	G2001	None	inner membrane	"'SapF.', 'SapC.', 'SapB.', 'SapD.'"	None	Growth	180	36.038	0.010771651	4	4	8.999
sapC	G2000	None	inner membrane	"'SapF.', 'SapC.', 'SapB.', 'SapD.'"	None	Growth	181	31.548	0.00948199	4	4	5.035
sapD	EG12304	trkE	inner membrane	"'SapF.', 'SapC.', 'SapB.', 'SapD.'"	None	Growth	245	37.661	0.015321702	4	4	9.051
sapF	EG12305	None	"inner membrane, cytosol"	"'SapF.', 'SapC.', 'SapB.', 'SapD.'"	None	Growth	257	30.57	0.013046008	4	4	9.529
sdhA	EG10931	dhsA	inner membrane	"'SdhA.', 'SdhB.', 'SdhC.', 'SdhD.'"	"heme b , a [2Fe-2S] iron-sulfur cluster, a [3Fe-4S] iron-sulfur cluster, a [4Fe-4S] iron-sulfur cluster, FAD "	Growth	3611	64.422	0.386287614	4	4	5.958
sdhB	EG10932	dhsB	inner membrane	"'SdhA.', 'SdhB.', 'SdhC.', 'SdhD.'"	"heme b , a [2Fe-2S] iron-sulfur cluster, a [3Fe-4S] iron-sulfur cluster, a [4Fe-4S] iron-sulfur cluster, FAD "	Growth	4850	26.77	0.215595256	4	4	6.387
sdhC	EG10933	cybL; cybA; dhsC; large subunit of cytochrome b556	inner membrane	"'SdhA.', 'SdhB.', 'SdhC.', 'SdhD.'"	"heme b , a [2Fe-2S] iron-sulfur cluster, a [3Fe-4S] iron-sulfur cluster, a [4Fe-4S] iron-sulfur cluster, FAD "	Growth	3179	14.299	0.075482328	4	4	10.124
sdhD	EG10934	cybS; dhsD; small subunit of cytochrome b556	inner membrane	"'SdhA.', 'SdhB.', 'SdhC.', 'SdhD.'"	"heme b , a [2Fe-2S] iron-sulfur cluster, a [3Fe-4S] iron-sulfur cluster, a [4Fe-4S] iron-sulfur cluster, FAD "	Growth	2341	12.868	0.050022058	4	4	8.65
secB	EG10937	None	cytosol	'SecB.4'	None	Growth	21205	17.277	0.608353065	4	1	4.116
secD	EG10938	None	inner membrane	"'YidC.', 'YajC.', 'SecF.', 'SecD.'"	None	No Growth	2699	66.632	0.298630956	4	4	8.746
secF	EG10940	None	inner membrane	"'YidC.', 'YajC.', 'SecF.', 'SecD.'"	None	No Growth	2927	35.382	0.171970594	4	4	5.587
serA	EG10944	None	cytosol	'SerA.4'	None	Growth	5109	44.176	0.374775664	4	1	6.057
speA	EG10959	None	periplasmic space	'SpeA.4'	"pyridoxal 5'-phosphate , Mg2+ "	Growth	9452	73.898	1.159859778	4	1	4.692
speG	G6842	None	cytosol	'SpeG.4'	None	Growth	2235	21.887	0.081229327	4	1	6.373
sppA	EG10968	None	inner membrane	'SppA.4'	None	Growth	547	67.219	0.061056016	4	1	5.73
srlD	EG10971	gutD	cytosol	'SrlD.4'	None	Growth	139	27.858	0.006430042	4	1	6.009
ssb	EG10976	exrB; lexC; DNA unwinding protein; helix destabilising protein; DNA melting protein	"bacterial nucleoid, cytosol"	'Ssb.4'	None	No Growth	14444	18.975	0.455112071	4	1	5.343
ssuD	G6477	ssi6; ycbN	cytosol	'SsuD.4'	None	Growth	11	41.736	0.000762347	4	1	5.784
sucC	EG10981	β subunit	cytosol	"'SucD.2', 'SucC.2'"	Mg2	Growth	5335	41.393	0.366699584	4	2	5.273
sucD	EG10982	α subunit	cytosol	"'SucD.2', 'SucC.2'"	Mg2	Growth	6091	29.777	0.3011748	4	2	6.46
sufB	G6909	ynhE; SufB component of SufBCD Fe-S cluster scaffold complex	cytosol	"'SufB.', 'SufC.2', 'SufD.'"	None	Growth	75	54.745	0.006817966	4	3	4.944
sufC	G6908	ynhD; SufC component of SufBCD Fe-S cluster scaffold complex	cytosol	"'SufB.', 'SufC.2', 'SufD.'"	None	Growth	117	27.582	0.005358716	4	3	4.704
sufD	G6907	ynhC; SufD component of SufBCD Fe-S cluster scaffold complex	cytosol	"'SufB.', 'SufC.2', 'SufD.'"	None	Growth	82	46.823	0.006375616	4	3	6.541
tatA	G7806	yigT; mttA1	"cytosol, inner membrane"	"'TatB.', 'TatC.', 'TatE.', 'TatA.'"	None	Growth	6336	9.664	0.101676639	4	4	5.758
tatB	G7808	ysgB; mttA2	inner membrane	"'TatB.', 'TatC.', 'TatE.', 'TatA.'"	None	Growth	1068	18.421	0.032668827	4	4	5.015
tatC	EG11479	mttB; yigU; yigV	inner membrane	"'TatB.', 'TatC.', 'TatE.', 'TatA.'"	None	Growth	1148	28.876	0.055046285	4	4	5.142
tatE	EG11305	ybeC	inner membrane	"'TatB.', 'TatC.', 'TatE.', 'TatA.'"	None	Growth	3465	7.024	0.040414465	4	4	9.472
tauD	EG12423	ssiD; yaiG; sulfate starvation-induced protein 3; SSI3	cytosol	'TauD.4'	Fe2+ 	Growth	No Info Available	32.41	No Info Available	4	1	6.461
tdcB	EG10990	tdc; biodegradative L-threonine dehydrase	cytosol	'TdcB.4'	pyridoxal 5'-phosphate 	Growth	No Info Available	35.232	No Info Available	4	1	5.804
